Data Set,Sample,Permeability (P),Convection Term (X),Tumor,Model,Size (nm),Particle,Particle Type,Active
"Dunne, Zheng",Nontargeted,1.48126425,-0.745810879,Lung,SubQ,81.9,Liposome,Lipid,0
"Dunne, Zheng",0.64 NGR-P2K,1.936500065,0.365442309,Lung,SubQ,84.1,Liposome,Lipid,1
"Dunne, Zheng",2.56 NGR-P2K,1.754639414,-0.344180943,Lung,SubQ,86.8,Liposome,Lipid,1
"Dunne, Zheng",0.64 NGR-P3.4K,1.081714218,1.051178976,Lung,SubQ,86.7,Liposome,Lipid,1
"Dunne, Zheng",0.64 ARA-P2K,1.965695792,-0.933010222,Lung,SubQ,84.1,Liposome,Lipid,1
"Dunne, Zheng",0.64 ARA-P3.4K,1.194853696,-0.267708913,Lung,SubQ,86.7,Liposome,Lipid,1
"Cabral, Matsumoto",BxPC3 pancreatic tumor 30 nm,2.462934603,-2.309341062,Pancreas,SubQ,30,Liposome,Lipid,0
"Cabral, Matsumoto",BxPC3 pancreatic tumor 50 nm,1.494242038,-1.554851978,Pancreas,SubQ,50,Liposome,Lipid,0
"Cabral, Matsumoto",BxPC3 pancreatic tumor 70 nm,1.23535249,-2.040157156,Pancreas,SubQ,70,Liposome,Lipid,0
"Cabral, Matsumoto",BxPC3 pancreatic tumor 90 nm,1.178018841,-1.754766682,Pancreas,SubQ,90,Liposome,Lipid,0
"Cabral, Matsumoto",C26- colon tumor 30 nm,1.314768092,-0.537114251,Colon,SubQ,30,Liposome,Lipid,0
"Cabral, Matsumoto",C26- colon tumor 50 nm,2.070503517,-1.830782104,Colon,SubQ,50,Liposome,Lipid,0
"Cabral, Matsumoto",C26- colon tumor 70 nm,2.177480468,-1.585231705,Colon,SubQ,70,Liposome,Lipid,0
"Cabral, Matsumoto",C26- colon tumor 90 nm,1.098511001,0.091289466,Colon,SubQ,90,Liposome,Lipid,0
"Ekdawi, Stewart",Iodine,0.575680007,-0.855026331,Breast,SubQ,7,Albumin,Protein,0
3HM U87,3HM,1.472449804,-1.658313534,GBM,Orthotopic,20,3HM,Lipid,0
3HM U87,Liposome,0.356834311,0.112347485,GBM,Orthotopic,100,Liposome,Lipid,0
Nikhil,C18,3.778694601,-5.46084531,Breast,Orthotopic,17,3HM,Lipid,0
Nikhil,C16,4.900727901,-5.547524325,Breast,Orthotopic,17.6,3HM,Lipid,0
"Dreher, Liu",70 kDa,539.7433098,-357.2614239,Skin,Dorsal,14,Dextran,Polysaccharide,0
"Dreher, Liu",40 kDa,429.6765382,-196.2534756,Skin,Dorsal,9.28,Dextran,Polysaccharide,0
